question,answer,difficulty,concept,concept2,explain
1,A,1,Properties of Integers,,data/math2/1.txt
2,C,1,Definition of Functions ,,data/math2/2.txt
3,A,1,Properties of Integers,,data/math2/3.txt
4,C,2,Equation of a line,Statistics,data/math2/4.txt
5,B,2,Parallel & Perpendicular lines,Angles and lines,data/math2/5.txt
6,D,1,Systems of Equations,,data/math2/6.txt
7,C,1,Equation of a Line,,data/math2/7.txt
8,B,3,Exponents,Complex Equations,data/math2/8.txt
9,D,2,Angles & Lines,,data/math2/9.txt
10,D,4,Equation of a Line,Definition of Functions,data/math2/10.txt
11,B,1,Properties of Integers,,data/math2/11.txt
12,C,1,Systems of Inequalities,,data/math2/12.txt
13,C,3,Exponents,Complex Equations,data/math2/13.txt
14,D,2,Properties of Integers,,data/math2/14.txt
15,D,2,Angles & Lines,,data/math2/15.txt
16,B,1,Definition of Functions,,data/math2/16.txt
17,A,1,Statistics,,data/math2/17.txt
18,C,1,Statistics,,data/math2/18.txt
19,A,2,Definition of Functions,,data/math2/19.txt
20,B,1,Systems of Inequalities,,data/math2/20.txt
21,C,1,Equation of a line,,data/math2/21.txt
22,A,4,Percent Change,,data/math2/22.txt
23,B,2,Compound Change,,data/math2/23.txt
24,D,3,Statistics,,data/math2/24.txt
25,A,1,Definition of Functions,,data/math2/25.txt
26,C,5,Statistics,,data/math2/26.txt
27,B,3,Definition of Functions,System of Equations,data/math2/27.txt
28,D,2,Statistics,,data/math2/28.txt
29,B,2,Equation of a line,,data/math2/29.txt
30,B,3,Definition of Functions,,data/math2/30.txt
31,96,1,Properties of Integers,,data/math2/31.txt
32,9,1,Properties of Integers,,data/math2/32.txt
33,16,2,Systems of Equations,,data/math2/33.txt
34,0.3,2,Properties of Integers,,data/math2/34.txt
35,6 or 2,2,Systems of Equations,Definition of Functions,data/math2/35.txt
36,0,5,"Sin, Cos, & Tan",,data/math2/36.txt
37,696,2,Definition of Functions,,data/math2/37.txt
38,0.6,4,Compound Change,,data/math2/38.txt
