question,answer,difficulty,concept,concept2,concept3,explain
1,C,5,Literature Passages,,,"Choice C is best. Early on in the passage, lines 19–23 reveal the narrator’s initial unease and anxiety that is only underscored by the doubt highlighted in lines 35–36.​ ​Later, the use of the word “submit” in line 72 exemplifies the narrator’s intention to accept his own passions and desires.</br>It’s NOT Choice A because the narrator’s discomfort with the experiment never escalates into fear, only anticipation. Similarly, the concluding paragraphs provide no explicit evidence for excitement despite their change in tone.</br>It’s NOT Choice B because the narrator never displays a lack of confidence in his ability to succeed with his creation. The narrator’s implicit contrast between the so-called “fools” described in lines 29–33 and his stated “full comprehension” in lines 34–35 eliminates this answer choice.</br>It’s NOT Choice D because the narrator never takes a disapproving stand on his own attempts at his endeavor. While the narrator does question his true intentions briefly in lines 35–36, he does not come close to truly criticizing himself at any point."
2,D,3,Literature Passages,Supporting Evidence,,"Choice D is best. While it is somewhat ironic that an answer choice advocating for a loss of equanimity is supporting a tone of acceptance, the keyword here is “relinquish.” The narrator argues that he must allow himself to lose his calmness, which indicates acceptance of his growing obsession.</br>It’s NOT Choice A because lines 10–13 only indicate that the “dream” is the narrator’s obsession. They offer no clues regarding his attitudes towards it.</br>It’s NOT Choice B because while lines 23–29 provide hints about the narrator’s initial dread and unease about his obsession, they give no sense of a tonal shift that indicates an eventual acceptance of it.</br>It’s NOT Choice C because the narrator’s contemplation about his motivations for the project gives us no sense of his change in tone from unease to acceptance."
3,D,5,Literature Passages,Words in Context,,"Choice D is best. It is crucial to identify “anachronistic” and not “abhorrently” as the key word of this phrase. Lines 1–3 also provide support for this answer choice, for even without knowing the dictionary definition of “anachronistic,” the comparison to a memory of a childhood friend offers clues that the phrase is most correctly understood as a reference to an earlier time period.</br></br>It’s NOT Choice A because while “abhorrently” could mislead the reader to this answer, the description of the desire as also “intimate” in line 4 makes this answer choice too directly contradictory to be correct.</br>It’s NOT Choice B because this is not synonymous to either word of the phrase.</br>It’s NOT Choice C because this is not synonymous to either word of the phrase. "
4,C,3,Literature Passages,,,"Choice C is best. L​ine 16 describes the narrator’s “prodigious and depraved desire for the truth,” and it is thus clear that the main purpose of the sentence is to emphasize the extent to which the narrator is driven by his own atypical motivations.</br></br>It’s NOT Choice A because there is no evidence that the author desires to share this side of his personality.</br>It’s NOT Choice B because if anything, the author’s decade-long focus on the problem reveals a meticulous and unyielding approach to scientific problems.</br>It’s NOT Choice D because there is no mention of financial constraints or expenditure in the sentence."
5,A,3,Literature Passages,,,"Choice A is best. L​ines 29–33 provide direct evidence for this answer choice, for in this sentence, the narrator characterizes the past failures of others as caused in part by their “scholastic arrogance.”</br></br>It’s NOT Choice B because the narrator is disparaging of these past scientists and describes them only as failures.</br>It’s NOT Choice C because the narrator never claims that the previous scientists failed in their ​design​ of the experiment.</br>It’s NOT Choice D because the previous scientists have attempted the “same feat” that the narrator now undertakes, which clearly implies that they share the same goals."
6,A,2,Literature Passages,Supporting Evidence,,"Choice A is best. Lines 29–33 provide direct evidence for this answer choice, for in this sentence, the narrator characterizes the past failures of others as being caused in part by their “scholastic arrogance.""</br></br>It’s NOT Choice B because lines 38–42 do not mention previous scientists and provide no evidence for why their previous attempts failed.</br>It’s NOT Choice C because lines 53–57 focus only on the narrator, not mentioning previous scientists and why their attempts failed.</br>It’s NOT Choice D because lines 64–68 focus only on the narrator, not mentioning previous scientists and why their attempts failed."
7,B,5,Literature Passages,Fact Recall,,"Choice B is b​est​. I​t is clear from the narrator’s characterizations of his ultimate goal as “the culmination of [his] lifelong fantasies” (line 23) and of his obsession as sustained by his “desire for the truth” (lines 13–16) that he finds his pursuit seductive. That he also believes it to be immoral is evident from descriptive phrases like “warped desire” (line 2), “depraved desire” (lines 15–16), and “perverse desire” (line 57). The immorality of the undertaking is furthermore hinted at in the inevitable negative public reaction described in lines 49–53.</br></br>It’s NOT Choice A because the narrator clearly believes the experiment to be possible (and even likely successful).</br>It’s NOT Choice C because there is no evidence that the narrator finds the project intimidating. Nervousness does not necessarily insinuate intimidation.</br>It’s NOT Choice D because line 68 directly contradicts the idea that the experiment is “scientifically critical” by describing it as having “no practical use."""
8,D,3,Literature Passages,,,"Choice D is b​est​. ​By casting doubt that a restored corpse may not feel, love, or remember, the narrator implies through these questions that a restored corpse may not experience traditional human sentiments.</br></br>It’s NOT Choice A because no lines in the entire passage mention newborn humans.</br>It’s NOT Choice B because while this may be true, the questions posed by the narrator do not support a contention that the experiment must be more difficult than other experiments.</br>It’s NOT Choice C because the narrator is clearly considering the implications of his experiment, and while this fact alone does not necessarily invalidate the truth of the claim in choice C, it is clear that the questions do not s​upport ​this line of reasoning."
9,D,3,Literature Passages,Words in Context,,"Choice D is best. As used in this context, “to take the utmost interest” is to commit fully to the pursuit in question, or to pledge to care deeply about it.</br></br>It’s NOT Choice A because “to take interest” is almost completely opposite in meaning to “ignore responsibility.”</br>It’s NOT Choice B because this answer choice ignores the emphasis made with the use of “utmost” in line 61.</br>It’s NOT Choice C because “pay little attention” is also nearly opposite in meaning to the idea of “utmost interest.”"
10,A,2,Literature Passages,Words in Context,,Choice A is best. The mention of “no practical use” in line 68 underscores the meaning of “fruitless” as indicating uselessness or impracticality in the real world. Only answer choice A comes close to satisfying these requirements.</br></br>It’s NOT Choice B because “logical” is not synonymous to “fruitless.”</br>It’s NOT Choice C because “impactful” is an antonym for “fruitless.”</br>It’s NOT Choice D because “meaningful” is an antonym for “fruitless.”
