question,answer,difficulty,concept,concept2,explain
1,D,1,Adverb Usage,,"Choice D is best. The prepositional phrase “For example” logically transitions from the topic sentence describing broad shifts to eco-friendly cars to the specific example of switching from an SUV to a Corolla.</br></br>It’s NOT Choice A because “Regardless” means “in spite of something.""</br>It’s NOT Choice B because “In Contrast” indicates a contrast.</br>It’s NOT Choice C because “However” indicates a contrast."
2,B,3,"Repetition, Incorrect Words, and Idioms",,"Choice B is best. “​Eliminating” best describes the process of removing the need for lower speed limits.</br></br>It’s NOT Choice A because “decimates” is too dramatic for the more straightforward tone of this passage; it implies a literal, total destruction.</br>It’s NOT Choice C because “unseating” suggests removing a person or object that is in power.</br>It’s NOT Choice D because “closing the book on” indicates a conclusion or resolution."
3,C,4,Parallel Structure,,"Choice C is best. T​he phrase “maximize savings” parallels the other two phrases within the sentence: both “offer more comfort” and “help reduce wear and tear” follow the structure of a present tense verb followed by a direct object.</br></br>It’s NOT Choice A because “they maximize savings” has the extra subject, “they,” that violates the parallelism in the list.</br>It’s NOT Choice B because “savings maximizes” has no corresponding subject and is not parallel to the other phrases in the list.</br>It’s NOT Choice D because “also it maximizes savings” does not parallel the other phrases in the list. Furthermore, “it” is singular whereas the subject it is referencing, “wagons,” is plural."
4,B,3,Clauses and Independence,,"Choice B is best. The option “volumes (which” is the only phrase that contains and properly utilizes the opening parenthesis for the “like the US)” phrase.</br></br>It’s NOT Choice A because “volumes, which” does not contain an open parenthesis, leaving the sentence with just a single closing parenthesis.</br>It’s NOT Choice C because “volumes which” does not contain an open parenthesis, leaving the sentence with just a single closing parenthesis.</br>It’s NOT Choice D because “volumes; (which” contains a semicolon that is only used to separate independent clauses. A semicolon is not needed to integrate a parenthetical into a sentence."
5,D,2,Writing Quality Enhancement,,"Choice D is best. The phrase “2 million midsize vehicles” accurately reflects the graph and demonstrates the small number of vehicles that the author is claiming were “just” bought by American consumers from 2013–2017. </br></br>It’s NOT Choice A because while “6 million small SUVs” accurately reflects the graph, it is a large number of vehicles compared to the 2 million midsize vehicles and would not properly correlate with the author’s use of “just” preceding the phrase.</br>It’s NOT Choice B because the same sentence later discusses the “8 million small sedans,” making this choice repetitive.</br>It’s NOT Choice C because the paragraph later discusses “three times as many impractical, inefficient sports cars,” making this choice repetitive."
6,A,3,Writing Quality Enhancement,,"Choice A is best. The graph demonstrates how around 13 million pickup trucks were sold, making it the most-sold car within the data. Therefore, “more pickup trucks” logically completes the sentence describing the car more “purchased than any other vehicle type.”</br></br>It’s NOT Choice B because the “large sedans” do not represent an extreme of the data; the graph shows how fewer sports cars and midsize vehicles were sold compared to large sedans.</br>It’s NOT Choice C because the correct answer in question 5 already references midsize vehicles. So while fewer midsize vehicles were, in fact, sold according to the graph, including that detail here would be unnecessarily repetitive.</br>It’s NOT Choice D because the graph demonstrates how fewer midsize vehicles were sold compared to sports cars."
7,B,3,Homophones,,"Choice B is best. “​Worse than” implies a comparison and does not contain the unnecessary comma separation (a comma would only be necessary if the connecting “than” statement was eliminated).</br></br>It’s NOT Choice A because “then” refers to a progression of time, and the usage of the comma is incorrect; if used, it would have to be followed by the subject “the low sales” as opposed to “then the low sales.”</br>It’s NOT Choice C because “then” refers to a progression of time.</br>It’s NOT Choice D because the comma is incorrect; if used, it would have to be followed by the subject “the low sales” as opposed to “than the low sales."""
8,C,1,Verb Tenses,,"Choice C is best. ""Enlarge” is in the present tense and is the correct tense for the plural subject “small and large SUVs.""</br></br>It’s NOT Choice A because “enlarges” would be the singular present tense and we are talking about many SUVs.</br>It’s NOT Choice B because “are enlarging” is in the present progressive tense, and “enlarge” should be in the present tense to maintain parallel structure with the “has...impact” phrase.</br>It’s NOT Choice D because “have enlarged” is in the present perfect progressive tense and we want to maintain parallel structure with the “has...impact"" phrase."
9,A,3,"Repetition, Incorrect Words, and Idioms",,"Choice A is best. “​Formidable” has the connotation of challenge, which best characterizes the effects of carbon emission.</br></br>It’s NOT Choice B because “rugged” is used more in a geological context to describe physical characteristics.</br>It’s NOT Choice C because “sinister” suggests that something has villainous intentions.</br>It’s NOT Choice D because “ominous” refers to something that is a warning."
10,C,4,Writing Quality Enhancement,,Choice C is best. “​Armed with these facts” best introduces the legislation that Lithuania and Estonia took in light of the scientific research presented in the passage.</br></br>It’s NOT Choice A because the information presented would not be a sufficient rationale for the countries’ decisions. This answer is also very wordy.</br>It’s NOT Choice B because the phrase suggests a lack of clarity and would not be ideal in an academic passage.</br>It’s NOT Choice D because “this limitation” denotes a single limitation whereas the passage has discussed multiple limitations of SUVs.
