question,answer,difficulty,concept,concept2,explain
1,D,1,Adverb Usage,,"Choice D is best. The word  “severity” means gravity or extremity of a condition, which fits the discussion of the obesity epidemic.

It’s NOT Choice A because “propensity” means a natural tendency to behave in a particular way.
It’s NOT Choice B because “intensity” means the quality of being intense.
It’s NOT Choice C because “inclination” person's natural tendency or urge to act or feel in a particular way"
2,B,3,"Repetition, Incorrect Words, and Idioms",,"Choice B is best. This choice underlines how fast food’s convenience saves people time without adding extraneous details.

It’s NOT Choice A because fast food providing a plethora of culinary choices is not relevant to this paragraph. 
It’s NOT Choice C because avoiding fast food for health reasons is not relevant to this paragraph.
It’s NOT Choice D because staying late at the office is too specific."
3,C,4,Parallel Structure,,"Choice A is best. The phrase “may spend” is appropriate here because there is the possibility of them spending hours cooking.

It’s NOT Choice B because “hour’s” inappropriately uses the possessive form of hour.
It’s NOT Choice C because the past perfect tense does not fit here. 
It’s NOT Choice D because the past tense does not fit here and “hour’s” inappropriately uses the possessive form of hour."
4,B,3,Clauses and Independence,,"Choice C is best. The subject is a list of groups of people, so each item should be separated by a comma. 

It’s NOT Choice A because a colon does not fit here, as it is not preceding a list of explanation.
It’s NOT Choice B because a semi-colon must separate independent clauses. 
It’s NOT Choice D because a comma is not needed after the word “and”."
5,D,2,Enhanced Writing Quality,,"Choice C is best. “This process” refers to “acquiring ingredients at the grocery store and cooking the meal” in sentence 4 and thus must follow it. 

It’s NOT Choice A because it can’t precede sentence 4, since “this process” is stated in sentence 4.
It’s NOT Choice B because that interrupts the sentences that introduce fast food.
It’s NOT Choice D because that makes “this process” an incorrect reference to part of sentence 5."
6,A,3,Enhanced Writing Quality,,"Choice D is best. This sentence serves as a transition into the themes of this paragraph  and sets up the argument, therefore it is needed. 

It’s NOT Choice A the sentence is necessary and does relate to nutrition.
It’s NOT Choice B because it does not contradict the main point of the passage and is needed. 
It’s NOT Choice C it does not state another reason why people eat fast food. "
7,B,3,Homophones,,"Choice B is best. The phrase “act as” shows that these chemicals are addictive agents. 

It’s NOT Choice A because “act like” implies that these chemicals are similar to addictive agents, when they are in fact the addictive agents in fast food. 
It’s NOT Choice C because the infinitive cannot be used here.
It’s NOT Choice D because the chemicals are the addictive agents and are not in them."
8,C,1,Verb Tenses,,"Choice C is best. The phrasing of “is sold” is parallel to “is filled” from earlier in the sentence and also uses the correct present tense of to be. 

It’s NOT Choice A because “sold” is incorrectly in the past tense. 
It’s NOT Choice B because “selling” is incorrectly in the progressive tense. 
It’s NOT Choice D because the future tense should not be used here."
9,A,3,"Repetition, Incorrect Words, and Idioms",,"Choice A is best. The word “additionally” fits logically here as this sentence adds on the last one. 

It’s NOT Choice B because “alternatively” implies that there is a contrast. 
It’s NOT Choice C because “therefore” implies that this sentence is a logical progression from the first, while it is instead a new detail.
It’s NOT Choice D because “in conclusion” implies that this sentence is a conclusion, but it is not. "
10,C,4,Enhanced Writing Quality,,"Choice A is best. The word “satiated” means full, the fact people remain full for less time after eating these foods reinforces their low quality.

It’s NOT Choice B because “hungry” implies that this food would positively stop people from being hungry as opposed to healthier food. 
It’s NOT Choice C because “better” is too vague.

It’s NOT Choice D because “sufficient” means enough, which is not linked to appetite."
